time,Bx,By,Bz,
2003-10-30 04:48:00.000,14817.60,1720.40,49738.00,
2003-10-30 04:49:00.000,14818.80,1723.50,49737.60,
2003-10-30 04:50:00.000,14821.10,1718.40,49732.90,
2003-10-30 04:51:00.000,14829.90,1711.50,49729.70,
2003-10-30 04:52:00.000,14817.70,1706.20,49722.20,
2003-10-30 04:53:00.000,14808.20,1705.30,49723.90,
2003-10-30 04:54:00.000,14809.40,1702.40,49728.90,
2003-10-30 04:55:00.000,14837.00,1703.20,49745.10,
2003-10-30 04:56:00.000,14854.70,1699.60,49751.70,
2003-10-30 04:57:00.000,14829.30,1704.00,49746.20,
2003-10-30 04:58:00.000,14819.50,1711.80,49740.80,
2003-10-30 04:59:00.000,14820.30,1714.50,49737.80,
2003-10-30 05:00:00.000,14821.30,1711.20,49733.20,
2003-10-30 05:01:00.000,14813.60,1712.40,49728.90,
2003-10-30 05:02:00.000,14805.90,1716.30,49723.60,
2003-10-30 05:03:00.000,14808.00,1715.00,49721.00,
2003-10-30 05:04:00.000,14823.00,1710.20,49723.50,
2003-10-30 05:05:00.000,14825.30,1710.30,49725.60,
2003-10-30 05:06:00.000,14817.70,1709.90,49723.30,
2003-10-30 05:07:00.000,14817.10,1709.40,49722.80,
2003-10-30 05:08:00.000,14818.90,1711.20,49726.20,
2003-10-30 05:09:00.000,14815.50,1713.70,49725.10,
2003-10-30 05:10:00.000,14798.70,1714.90,49715.70,
2003-10-30 05:11:00.000,14784.90,1716.70,49706.20,
2003-10-30 05:12:00.000,14813.10,1717.20,49710.10,
2003-10-30 05:13:00.000,14843.30,1713.70,49721.80,
2003-10-30 05:14:00.000,14829.70,1705.70,49719.10,
2003-10-30 05:15:00.000,14806.60,1707.20,49711.20,
2003-10-30 05:16:00.000,14818.50,1712.80,49712.30,
2003-10-30 05:17:00.000,14841.20,1708.60,49719.20,
2003-10-30 05:18:00.000,14845.40,1696.50,49718.20,
2003-10-30 05:19:00.000,14834.50,1700.40,49714.10,
2003-10-30 05:20:00.000,14838.20,1696.20,49713.40,
2003-10-30 05:21:00.000,14835.50,1683.00,49714.40,
2003-10-30 05:22:00.000,14835.20,1688.90,49718.90,
2003-10-30 05:23:00.000,14837.70,1697.00,49721.70,
2003-10-30 05:24:00.000,14826.20,1704.50,49726.60,
2003-10-30 05:25:00.000,14800.90,1703.70,49721.50,
2003-10-30 05:26:00.000,14831.40,1704.60,49727.20,
2003-10-30 05:27:00.000,14851.80,1697.70,49735.30,
2003-10-30 05:28:00.000,14825.30,1701.60,49729.30,
2003-10-30 05:29:00.000,14831.10,1706.50,49721.10,
2003-10-30 05:30:00.000,14837.80,1697.80,49723.00,
2003-10-30 05:31:00.000,14830.50,1692.70,49731.80,
2003-10-30 05:32:00.000,14833.90,1698.00,49732.40,
2003-10-30 05:33:00.000,14833.60,1702.40,49729.10,
2003-10-30 05:34:00.000,14816.40,1692.70,49718.30,
2003-10-30 05:35:00.000,14792.60,1690.10,49706.80,
2003-10-30 05:36:00.000,14820.60,1698.80,49712.20,
2003-10-30 05:37:00.000,14843.40,1690.60,49721.30,
